Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 1.0 0.561 0.0 0.926 0.78
3.5e+05 0.958 0.476 0.129 0.781 0.717
4e+05 0.874 0.391 0.234 0.624 0.632
4.5e+05 0.831 0.301 0.318 0.502 0.566
5e+05 0.72 0.22 0.416 0.398 0.47
5.5e+05 0.642 0.146 0.498 0.375 0.394
6e+05 0.731 0.111 0.515 0.402 0.421
6.5e+05 0.501 0.039 0.649 0.297 0.27
7e+05 0.13 0.0 0.653 1.0 0.065
7.5e+05 0.307 0.014 0.751 0.187 0.16
8e+05 0.274 0.038 0.779 0.24 0.156
8.5e+05 0.199 0.082 0.815 0.281 0.14
9e+05 0.143 0.153 0.842 0.264 0.148
9.5e+05 0.095 0.245 0.863 0.265 0.17
1e+06 0.059 0.358 0.894 0.214 0.209
1.05e+06 0.028 0.488 0.924 0.18 0.258
1.1e+06 0.017 0.641 0.952 0.104 0.329
1.15e+06 0.003 0.81 0.975 0.049 0.406
1.2e+06 0.0 1.0 1.0 0.0 0.5
