Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 0.064 0.0 0.0 0.0 0.032
3.5e+05 0.033 0.0 0.0 0.0 0.016
4e+05 0.01 0.0 0.0 0.0 0.005
4.5e+05 0.0 0.0 0.0 0.0 0.0
5e+05 0.004 0.0 0.0 0.0 0.002
5.5e+05 0.009 0.0 0.0 0.0 0.005
6e+05 0.015 0.0 0.0 0.0 0.007
6.5e+05 0.026 0.0 0.0 0.0 0.013
7e+05 0.039 0.0 0.001 0.0 0.019
7.5e+05 0.053 0.0 0.001 0.0 0.027
8e+05 0.066 0.0 0.001 0.0 0.033
8.5e+05 0.082 0.0 0.001 0.0 0.041
9e+05 0.964 0.001 0.008 0.017 0.483
9.5e+05 0.67 0.027 0.004 0.023 0.348
1e+06 0.086 0.0 0.0 0.0 0.043
1.05e+06 0.094 0.0 0.0 0.0 0.047
1.1e+06 0.092 0.0 0.0 0.0 0.046
1.15e+06 0.285 0.593 0.187 0.406 0.439
1.2e+06 1.0 1.0 1.0 1.0 1.0
2.5e+05 0.106 0.0 0.001 0.0 0.053
2.0e+05 0.163 0.0 0.001 0.001 0.081
1.75e+05 0.201 0.0 0.002 0.001 0.1
1.5e+05 0.243 0.0 0.002 0.001 0.121
1.25e+05 0.278 0.0 0.003 0.001 0.139
1.0e+05 0.318 0.0 0.004 0.001 0.159
