Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 1.0 0.017 1.0 1.0 0.508
3.5e+05 0.861 0.0 0.682 0.788 0.431
4e+05 0.717 0.0 0.478 0.628 0.359
4.5e+05 0.61 0.011 0.368 0.539 0.31
5e+05 0.524 0.021 0.324 0.41 0.272
5.5e+05 0.466 0.045 0.329 0.287 0.255
6e+05 0.405 0.076 0.202 0.2 0.24
6.5e+05 0.345 0.122 0.098 0.091 0.233
7e+05 0.291 0.174 0.141 0.0 0.232
7.5e+05 0.248 0.237 0.219 0.084 0.243
8e+05 0.2 0.3 0.248 0.084 0.25
8.5e+05 0.167 0.369 0.18 0.131 0.268
9e+05 0.137 0.447 0.05 0.229 0.292
9.5e+05 0.092 0.517 0.0 0.272 0.305
1e+06 0.056 0.595 0.031 0.281 0.326
1.05e+06 0.03 0.676 0.013 0.392 0.353
1.1e+06 0.007 0.772 0.039 0.466 0.389
1.15e+06 0.0 0.878 0.021 0.613 0.439
1.2e+06 0.005 1.0 0.077 0.754 0.502
