Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 1.0 0.868 1.0 1.0 0.934
3.5e+05 0.897 0.739 0.866 0.882 0.818
4e+05 0.825 0.62 0.77 0.772 0.723
4.5e+05 0.772 0.507 0.689 0.678 0.64
5e+05 0.724 0.406 0.624 0.591 0.565
5.5e+05 0.676 0.309 0.554 0.522 0.493
6e+05 0.628 0.239 0.49 0.451 0.433
6.5e+05 0.573 0.172 0.42 0.379 0.373
7e+05 0.521 0.117 0.364 0.319 0.319
7.5e+05 0.464 0.048 0.298 0.264 0.256
8e+05 0.414 0.011 0.245 0.227 0.212
8.5e+05 0.368 0.0 0.201 0.189 0.184
9e+05 0.324 0.016 0.165 0.169 0.17
9.5e+05 0.283 0.051 0.135 0.145 0.167
1e+06 0.248 0.097 0.12 0.099 0.172
1.05e+06 0.214 0.185 0.098 0.063 0.2
1.1e+06 0.177 0.291 0.074 0.036 0.234
1.15e+06 0.136 0.389 0.055 0.013 0.263
1.2e+06 0.103 0.515 0.04 0.002 0.309
1.25e+06 0.065 0.667 0.017 0.001 0.366
1.3e+06 0.034 0.831 0.002 0.0 0.433
1.35e+06 0.0 1.0 0.0 0.005 0.5
