Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 1.0 0.048 1.0 1.0 0.524
3.5e+05 0.793 0.015 0.695 0.884 0.404
4e+05 0.646 0.001 0.469 0.77 0.323
4.5e+05 0.517 0.0 0.293 0.702 0.258
5e+05 0.443 0.014 0.2 0.627 0.229
5.5e+05 0.387 0.038 0.125 0.536 0.213
6e+05 0.347 0.069 0.079 0.427 0.208
6.5e+05 0.303 0.104 0.014 0.299 0.203
7e+05 0.238 0.141 0.0 0.191 0.19
7.5e+05 0.202 0.186 0.029 0.106 0.194
8e+05 0.169 0.241 0.072 0.059 0.205
8.5e+05 0.142 0.305 0.117 0.022 0.223
9e+05 0.11 0.382 0.156 0.007 0.246
9.5e+05 0.089 0.478 0.176 0.0 0.284
1e+06 0.065 0.592 0.204 0.041 0.328
1.05e+06 0.04 0.694 0.174 0.07 0.367
1.1e+06 0.024 0.799 0.156 0.122 0.411
1.15e+06 0.004 0.904 0.153 0.161 0.454
1.2e+06 0.0 1.0 0.146 0.193 0.5
