Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 1.0 0.694 1.0 1.0 0.847
3.5e+05 0.806 0.596 0.788 0.943 0.701
4e+05 0.66 0.495 0.583 0.907 0.577
4.5e+05 0.53 0.395 0.406 0.869 0.463
5e+05 0.437 0.294 0.322 0.826 0.365
5.5e+05 0.361 0.192 0.297 0.769 0.276
6e+05 0.309 0.101 0.336 0.694 0.205
6.5e+05 0.192 0.064 0.419 0.595 0.128
7e+05 0.173 0.007 0.508 0.568 0.09
7.5e+05 0.2 0.0 0.24 0.452 0.1
8e+05 0.186 0.028 0.179 0.434 0.107
8.5e+05 0.16 0.083 0.204 0.377 0.122
9e+05 0.124 0.14 0.14 0.329 0.132
9.5e+05 0.099 0.211 0.105 0.256 0.155
1e+06 0.083 0.308 0.083 0.206 0.195
1.05e+06 0.048 0.425 0.046 0.156 0.236
1.1e+06 0.024 0.571 0.007 0.1 0.297
1.15e+06 0.004 0.748 0.0 0.06 0.376
1.2e+06 0.0 1.0 0.013 0.0 0.5
