Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 0.245 0.084 0.0 1.0 0.164
3.5e+05 0.168 0.048 0.08 0.906 0.108
4e+05 0.083 0.023 0.137 0.815 0.053
4.5e+05 0.015 0.009 0.218 0.729 0.012
5e+05 0.0 0.001 0.256 0.653 0.001
5.5e+05 0.027 0.0 0.307 0.604 0.014
6e+05 0.072 0.016 0.39 0.564 0.044
6.5e+05 0.116 0.036 0.485 0.525 0.076
7e+05 0.215 0.079 0.604 0.49 0.147
7.5e+05 0.314 0.125 0.689 0.386 0.219
8e+05 0.424 0.202 0.758 0.304 0.313
8.5e+05 0.515 0.282 0.787 0.219 0.399
9e+05 0.594 0.364 0.811 0.172 0.479
9.5e+05 0.67 0.456 0.835 0.112 0.563
1e+06 0.731 0.545 0.865 0.084 0.638
1.05e+06 0.799 0.647 0.898 0.059 0.723
1.1e+06 0.874 0.762 0.937 0.042 0.818
1.15e+06 0.944 0.888 0.974 0.03 0.916
1.2e+06 1.0 1.0 1.0 0.0 1.0
