Poynting_flux Dist_U Dist_N Dist_T Dist_B ave_un
3e+05 1.0 0.156 1.0 0.949 0.578
3.5e+05 0.818 0.108 0.836 0.919 0.463
4e+05 0.626 0.057 0.857 1.0 0.342
4.5e+05 0.615 0.027 0.685 0.855 0.321
5e+05 0.544 0.013 0.607 0.757 0.278
5.5e+05 0.467 0.001 0.533 0.617 0.234
6e+05 0.405 0.0 0.463 0.505 0.203
6.5e+05 0.358 0.021 0.417 0.415 0.189
7e+05 0.297 0.065 0.361 0.302 0.181
7.5e+05 0.248 0.104 0.311 0.214 0.176
8e+05 0.203 0.168 0.263 0.125 0.186
8.5e+05 0.171 0.247 0.218 0.012 0.209
9e+05 0.17 0.362 0.184 0.0 0.266
9.5e+05 0.129 0.432 0.144 0.015 0.28
1e+06 0.097 0.517 0.116 0.023 0.307
1.05e+06 0.072 0.614 0.095 0.017 0.343
1.1e+06 0.049 0.725 0.071 0.034 0.387
1.15e+06 0.029 0.859 0.028 0.044 0.444
1.2e+06 0.0 1.0 0.0 0.075 0.5
